year,sys,fis,per,class,ad,co,ba,no,pv,in,ve,cc,cp,cm,value
2022,284,56,658,Empresa,0,34800,31090,13870,476820,253080,37400,248600,270560,363570,1729790
2020,264,132,579,Empresa,0,0,0,0,0,614120,0,0,0,869450,1483570
2022,193,63,475,Empresa,0,0,13440,0,540440,324640,21720,22000,22000,446450,1390690
2020,73,7,462,AS,18000,94690,94690,97690,94240,65370,67080,56370,56370,67080,711580
2022,81,16,282,AS,18000,25700,13440,13870,299780,79740,87610,62260,11850,103320,715570
2022,40,8,271,Empresa,0,34800,34800,35870,221040,76040,59120,16370,26520,78470,583030
2022,54,24,313,Empresa,0,26900,26900,14460,223460,148490,24500,22000,22000,24500,533210
2021,124,41,141,Empresa,0,9750,9750,6340,185840,114270,3550,5970,5970,142820,484260
2022,103,44,168,AS,18000,15800,15800,18170,219160,144380,18780,9040,9040,18780,486950
2022,38,6,272,AS,18000,26880,21340,13870,124900,45830,88030,52550,14970,58260,464630
2021,43,17,165,Empresa,0,13440,13440,13870,277780,81320,10860,9000,9000,24500,453210
2022,73,22,146,Empresa,0,7900,7900,8120,173800,99440,6450,4520,4520,141900,454550
2022,18,2,900,Empresa,0,53800,53800,55500,65600,44000,49000,44000,44000,49000,458700
2022,18,4,795,Empresa,0,107600,53800,55500,0,44000,49000,44000,44000,49000,446900
2022,33,7,285,Empresa,0,26900,72530,13870,0,67040,144220,67040,22000,24500,438100
2022,92,17,145,Empresa,0,7900,7900,8120,133400,56270,80650,53420,15920,70560,434140
2022,94,47,127,Empresa,0,0,0,0,252960,157820,0,4520,0,10650,425950
2022,30,8,194,AS,9000,0,0,0,213140,63000,76020,60890,0,0,422050
2022,82,26,139,Empresa,0,19570,19570,14460,133820,98750,31720,53910,14700,25880,412380
2022,52,22,142,Empresa,0,26900,7900,8120,217260,100580,10860,9000,4520,17310,402450
2022,78,24,126,Empresa,0,13440,7900,8120,154080,87380,6450,4520,4520,111420,397830
2022,45,15,127,Empresa,0,0,0,0,245100,61120,0,0,0,85150,391370
2022,32,4,62,AS,9000,21930,23700,22580,15800,16410,30210,18080,13560,16450,187720
2022,63,30,134,Empresa,0,13440,13440,8120,141640,73460,10860,9000,18000,96480,384440
2022,66,12,136,Empresa,0,26900,7900,13870,72780,44490,71680,49010,37340,58780,382750
2022,20,4,497,Empresa,0,34780,40340,14460,65600,44000,49000,44000,31000,49000,372180
2022,19,3,329,AS,18000,40340,34800,35870,65600,44000,24500,22000,26520,24500,336130
2022,25,8,147,Empresa,0,0,0,0,171660,93520,0,2850,0,109750,377780
2021,36,4,144,Empresa,0,31600,31600,32480,131200,27040,30210,27040,22560,43440,377170
2022,29,4,158,Empresa,0,40320,40320,32480,16340,40000,46220,40000,27000,46220,328900
2022,38,19,191,Empresa,0,26900,13440,13870,81940,98600,77050,16370,16370,29640,374180
2022,26,5,270,Empresa,0,0,7900,0,114740,44520,95220,35520,18080,41810,357790
2022,69,34,69,Empresa,0,196160,24520,63400,13560,14250,14200,14250,11400,7100,358840
2022,36,5,51,AS,4500,14030,12260,14460,25980,15920,21510,13070,13070,17100,151900
2022,21,3,240,Empresa,0,40320,40320,0,0,66000,73500,66000,27000,32580,345720
2022,39,13,119,AS,49500,7900,7900,8120,212420,42060,0,0,4520,10860,343280
2022,32,10,151,Empresa,0,26900,26900,13870,87440,62680,43850,26520,22000,24500,334660
2022,23,4,170,Empresa,0,26880,26880,16240,73500,18040,73500,44000,13520,21720,314280
2022,47,15,129,Empresa,0,40340,26880,16240,86380,56720,35360,20850,18000,21720,322490
2022,36,5,126,Empresa,0,40340,40340,16240,64820,27080,54710,27080,27080,36660,334350
2022,20,3,180,Empresa,0,34800,34800,27750,73500,18000,41810,35520,31000,35360,332540
2021,48,14,106,Empresa,0,0,0,0,156600,40390,98220,18770,4520,10000,328500
2021,52,21,105,Empresa,0,7900,7900,8120,160820,92720,6450,4520,4520,10860,303810
2022,31,7,126,Empresa,0,13440,7900,8120,155320,31600,21720,22560,18040,43110,321810
2022,13,1,130,AS,18000,26900,26900,27750,32800,22000,24500,22000,22000,24500,247350
2022,51,9,108,Empresa,0,13440,7900,0,71640,39010,56660,36120,29970,52250,306990
2021,21,4,151,AS,18000,26900,13440,13870,53660,38370,35360,31000,18000,41810,290410
2022,47,17,122,Empresa,0,13440,7900,8120,120320,70720,28050,17370,9000,28050,302970
2022,13,2,61,AS,9000,13440,13440,13870,16340,9000,24500,9000,9000,10860,128450
2022,36,18,101,Empresa,0,0,0,0,180400,28990,61810,13520,5970,10860,301550
2022,41,11,99,Empresa,0,7900,7900,6340,156940,47390,12900,26140,9040,20860,295410
2022,46,12,103,Empresa,0,15800,7900,0,103220,50370,6450,32780,9000,51070,276590
2022,78,39,80,Empresa,0,0,0,0,179660,112820,0,0,0,0,292480
2022,29,12,140,Empresa,0,34800,34800,0,89280,18040,37400,4520,26520,30950,276310
2022,39,5,99,Empresa,0,26290,26290,16240,69460,22070,45360,26550,19220,32370,283850
2022,18,2,166,AS,18000,7900,0,8120,49140,31000,35360,31000,18000,35360,233880
2022,26,10,144,Empresa,0,53800,40340,27750,12420,13520,67480,32220,18000,21720,287250
2022,24,6,114,Empresa,0,26900,13440,27750,72300,29930,24500,22000,9000,56750,282570
2022,25,6,125,AS,18000,26900,7900,13870,32800,25450,62670,47410,22000,24500,281500
2022,44,36,96,AS,18000,13440,7900,8120,184680,22000,6450,4520,0,10860,275970
2022,22,3,124,Empresa,0,34780,34780,8120,0,35520,59860,35520,22520,41810,272910
2022,35,15,90,Empresa,0,0,7900,0,180340,52240,10860,5970,4520,10860,272690
2022,25,7,152,Empresa,0,13440,13440,0,130840,40770,24500,9000,9000,28610,269600
2022,19,3,171,Empresa,0,7900,13440,13870,81940,31040,41810,26520,13520,30950,260990
2022,37,10,108,Empresa,0,26900,13440,13870,7900,41330,68050,41330,22000,24500,259320
2022,11,1,282,Empresa,0,26900,26900,27750,32800,22000,24500,22000,22000,24500,229350
2022,32,11,115,Empresa,0,0,0,0,111180,49190,67080,13520,9040,17310,267320
2021,28,8,94,Empresa,0,7900,7900,0,141660,34490,24500,38970,4520,6450,266390
2022,31,7,103,Empresa,0,26900,26900,13870,41780,40770,24500,9000,33400,48700,265820
2021,48,24,96,Empresa,0,0,0,0,0,108480,0,0,0,154800,263280
2020,25,6,97,Empresa,0,7900,7900,8120,98040,62520,28050,4520,4520,40210,261780
2022,30,7,106,AS,4500,0,0,0,88640,40600,71900,31070,13520,10860,261090
2021,54,16,81,Empresa,0,0,0,8120,92020,51750,24500,11670,4520,64110,256690
2022,20,4,109,AS,9000,13440,7900,8120,48480,44000,49000,13520,9000,35360,237820
2022,12,2,215,Empresa,0,0,0,0,65600,44000,49000,44000,18000,35360,255960
2021,24,5,95,Empresa,0,7900,7900,8120,106180,44560,12900,9040,4520,41070,242190
2022,36,29,72,Empresa,0,26880,26880,27740,160360,0,6450,4520,0,0,252830
2021,40,22,94,Empresa,0,0,0,0,167140,66130,3550,4520,4520,6450,252310
2022,24,6,88,Empresa,0,13440,13440,8120,106060,31600,6450,4520,9000,56750,249380
2022,25,6,143,Empresa,0,26900,26900,13870,58780,37920,10860,13520,9000,38700,236450
2022,15,3,93,Empresa,0,26900,26900,27750,41840,27700,10860,22000,22000,24500,230450
2020,32,9,89,AS,18000,6130,6130,6340,114500,36810,0,13070,4520,32160,237660
2020,53,23,75,Empresa,0,7900,13440,0,114640,75040,12900,9040,4520,0,237480
2022,37,10,93,AS,45000,13440,7900,8120,79000,44670,24500,9000,4520,6450,242600
2022,22,3,99,Empresa,0,23700,0,0,98400,22520,23760,18000,13560,28170,228110
2022,33,8,81,Empresa,0,0,7900,0,104400,28950,28050,9000,15920,44410,238630
2021,14,2,145,Empresa,0,9750,34800,0,16340,31000,35360,31000,31000,49000,238250
2022,10,1,110,AS,18000,26900,13440,0,32800,22000,24500,22000,22000,24500,206140
2022,16,2,119,Empresa,0,34800,34800,21990,0,26520,35360,26520,26520,30950,237460
2020,31,6,86,Empresa,0,0,7900,0,67080,27080,49030,27080,4520,36660,219350
2022,23,9,95,AS,18000,13440,26900,13870,42920,13520,30950,26520,13520,17310,216950
2022,31,9,112,AS,18000,0,0,0,0,48410,65970,51260,4520,6450,194610
2022,16,3,106,Empresa,0,21340,13440,8120,65480,9000,46220,31000,13520,24500,232620
2022,16,7,87,Empresa,0,9750,7900,8120,106060,22000,43280,5970,4520,24500,232100
2022,28,7,83,Empresa,0,13440,9750,0,118600,21620,34620,18770,5970,7920,230690
2022,27,6,75,Empresa,0,21340,17650,8120,98160,15920,10860,17370,0,40170,229590
2022,14,3,135,Empresa,0,13440,13440,8120,98400,33850,24500,9000,9000,10860,220610
2022,36,9,74,Empresa,0,7900,7900,8120,76160,41820,6450,7370,4520,56660,216900
2022,20,3,127,AS,6300,7900,7900,8120,65480,27700,24500,29370,4520,34500,216290
2022,30,6,72,Empresa,0,7900,7900,8120,102680,22110,24410,13070,4520,20000,210710
2022,19,3,84,Empresa,0,33030,33030,34090,7900,26520,20860,29370,26520,12900,224220
2022,18,3,94,Empresa,0,0,0,0,81940,18040,41810,35520,18040,28170,223520
2022,14,3,127,Empresa,0,0,0,0,65480,40000,73500,27000,4520,10860,221360
2022,18,3,95,Empresa,0,40340,26880,14460,0,31000,28170,18000,27000,35360,221210
2022,24,7,77,Empresa,0,0,0,0,105480,26100,70550,4520,2850,10860,220360
2022,18,3,92,AS,18000,13440,13440,8120,53660,29370,35360,13520,9000,10860,204770
2022,21,3,87,Empresa,0,26900,13440,8120,57040,13560,43280,18040,13560,23760,217700
2022,42,17,69,Empresa,0,13440,7900,8120,83600,56270,6450,4520,9000,10860,200160
2022,16,2,76,Empresa,0,23190,14030,14460,65600,44000,30950,4520,4520,14410,215680
2022,13,1,99,AS,4500,26900,13440,27750,7900,22000,24500,22000,22000,24500,195490
2022,37,13,67,Empresa,0,13440,13440,6340,97040,38720,13550,11850,4520,7920,206820
2022,23,3,80,AS,9000,21340,21340,21990,24240,13520,30950,13520,13520,17310,186730
2022,11,2,131,Empresa,0,13440,33030,13870,32800,22000,10860,22000,22000,24500,194500
2022,16,9,68,Empresa,0,6130,6130,8120,147060,4520,24500,0,4520,10860,211840
2022,15,3,165,Empresa,0,26900,26900,13870,45220,29370,3550,9000,22000,34500,211310
2022,31,12,67,Empresa,0,7900,0,0,111640,40350,3550,4520,4520,24500,196980
2022,22,2,81,AS,4500,21340,21340,21990,24240,13520,35360,18000,13520,17310,191120
2022,30,11,73,Empresa,0,13440,7900,8120,89700,54200,10860,4520,4520,10860,204120
2022,20,4,90,Empresa,0,0,0,0,81820,22560,57080,13520,9040,25800,209820
2022,16,5,71,Empresa,0,46470,12260,16240,4520,2850,7100,8550,2850,3550,104390
2022,24,4,105,AS,15300,6130,0,0,41840,22340,59860,15010,13560,20820,194860
2020,33,11,66,Empresa,0,0,0,0,86900,49720,0,0,0,70950,207570
2022,17,3,149,AS,6300,0,0,0,98400,35520,6450,18040,18040,23760,206510
2022,31,4,71,Empresa,0,31600,31600,8120,15800,18080,39030,18080,18080,25800,206190
2022,28,8,70,Empresa,0,0,0,0,102020,31640,0,18080,9040,45150,205930
2022,10,1,116,Empresa,0,26900,13440,13870,4520,22000,24500,22000,22000,24500,173730
2022,22,6,73,AS,10800,13440,7900,14460,73380,22560,6450,4520,9000,30210,192720
2022,24,5,90,Empresa,0,21930,15800,16240,24240,18000,45360,9040,9040,39030,198680
2022,8,1,320,Empresa,0,26900,26900,27750,32800,22000,0,22000,22000,24500,204850
2021,19,2,78,Empresa,0,21340,21340,16240,32680,13520,35360,31000,13520,12900,197900
2022,23,4,84,Empresa,0,0,29240,0,64940,20890,23760,31520,16370,17310,204030
2022,26,9,67,Empresa,0,13440,7900,8120,104860,40680,6450,4520,4520,6450,196940
2022,17,3,88,AS,9000,13440,7900,16240,40700,26520,30950,13520,13520,30950,202740
2022,9,1,165,Empresa,0,26900,26900,13870,32800,22000,24500,22000,9000,24500,202470
2022,16,6,102,AS,18000,7900,7900,8120,86300,22000,10860,4520,4520,24500,194620
2022,9,1,320,Empresa,0,13440,26900,13870,32800,22000,24500,22000,22000,24500,202010
2022,11,1,151,Empresa,0,26900,7900,8120,32800,22000,24500,22000,9000,24500,177720
2022,16,6,72,Empresa,0,0,0,0,106180,4520,51930,4520,0,32580,199730
2022,17,2,76,AS,4500,26900,26880,13870,32680,9040,24500,31000,9040,6450,184860
2022,30,8,62,Empresa,0,0,0,0,114380,22800,25800,11400,0,24850,199230
2022,30,5,69,Empresa,0,0,0,0,81280,22600,17750,22600,22600,32250,199080
2022,9,1,135,Empresa,0,26900,26900,13870,16340,22000,24500,22000,22000,24500,199010
2022,26,8,65,Empresa,0,0,0,0,116640,24470,10860,21620,0,7920,181510
2022,18,5,86,AS,27000,0,0,0,53660,35070,24500,9000,13520,34500,197250
2021,34,11,64,Empresa,0,15800,0,8120,84760,40840,6450,14740,9040,17310,197060
2022,17,6,65,AS,6300,7900,7900,8120,119140,9040,10860,9000,4520,6450,189230
2022,19,2,99,Empresa,0,15800,21340,16240,15800,26520,35360,13520,13520,30950,189050
2022,8,1,140,Empresa,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550
2022,8,1,160,Empresa,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550
2021,8,1,85,Empresa,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550
2022,8,1,100,Empresa,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550
2022,15,2,78,Empresa,0,0,15800,16240,65600,13520,24500,13520,11940,35360,196480
2022,27,7,75,Empresa,0,13440,19570,8120,35540,22520,42580,14700,16190,23760,196420
2022,11,2,117,Empresa,0,26900,26900,13870,37320,24850,24500,22000,9000,10860,196200
2022,13,1,80,AS,9000,13440,13440,13870,16340,9000,24500,22000,22000,10860,154450
2022,11,1,116,Empresa,0,26900,13440,8120,0,22000,24500,22000,22000,24500,163460
2022,20,6,71,Empresa,0,0,0,0,80740,31600,69980,4520,0,6450,193290
2022,28,7,77,Empresa,0,0,0,0,0,47450,64710,34450,0,46660,193270
2022,22,3,73,Empresa,0,15800,15800,0,49140,18040,23760,18040,18040,28170,186790
2022,27,3,63,Empresa,0,23700,23700,24360,32140,13560,23760,18040,13560,19350,192170
2022,12,2,75,Empresa,0,33030,33030,0,4520,22000,28050,24850,22000,24500,191980
2022,16,4,93,Empresa,0,7900,7900,8120,40040,9000,43850,22000,9000,10860,158670
2022,10,1,78,Empresa,0,26900,13440,10050,32800,22000,24500,9000,9000,10860,158550
2022,21,6,73,Empresa,0,26900,26900,13870,34420,19220,14410,11850,24850,17960,190380
2022,9,2,131,Empresa,0,26900,26900,20210,0,22000,24500,22000,22000,24500,189010
2022,9,1,77,Empresa,0,26900,26900,13870,0,22000,24500,22000,22000,24500,182670
2022,29,8,60,Empresa,0,0,0,0,71640,36160,29350,0,0,51600,188750
2022,10,1,80,Empresa,0,26900,13440,13870,32800,9000,24500,9000,22000,24500,176010
2022,11,1,96,AS,18000,7900,13440,8120,32800,22000,24500,22000,9000,24500,182260
2022,9,1,80,Empresa,0,13440,13440,13870,32800,22000,24500,22000,22000,24500,188550
2022,10,1,98,Empresa,0,26900,13440,8120,32800,22000,24500,22000,9000,24500,183260
2021,18,4,80,Empresa,0,7900,0,8120,98280,9040,29640,13560,9040,12900,188480
2022,36,11,53,Empresa,0,34190,15800,37040,13560,7370,37100,27810,9040,6450,188360
2022,9,1,127,Empresa,0,13440,0,8120,32800,22000,24500,22000,9000,24500,156360
2021,45,15,61,Empresa,0,0,0,0,86380,48900,0,52240,0,0,187520
2022,16,4,69,Empresa,0,7900,0,8120,98280,16370,10000,4520,4520,21720,171430
2022,15,2,90,Empresa,0,26880,13440,0,65600,18000,14410,13520,13520,21720,187090
2022,12,4,78,Empresa,0,13440,13440,0,98280,9000,3550,22000,9000,17310,186020
2022,9,1,125,Empresa,0,26900,26900,13870,16340,22000,24500,22000,22000,10860,185370
2022,39,12,61,Empresa,0,0,0,0,72820,37540,16450,14740,19220,24410,185180
2022,8,1,95,Empresa,0,26900,26900,0,16340,22000,24500,22000,22000,24500,185140
2022,13,2,83,Empresa,0,0,0,0,49140,31000,30950,13520,9040,35360,169010
2022,20,3,64,Empresa,0,0,0,8120,76300,18040,20860,11890,9040,23760,168010
2022,14,2,74,Empresa,0,14030,7900,8120,65600,13520,21720,31000,0,21720,183610
2022,8,1,95,Empresa,0,26900,26900,27750,0,22000,24500,9000,22000,24500,183550
2022,8,1,80,Empresa,0,26900,13440,27750,0,22000,24500,22000,22000,24500,183090
2022,9,1,107,Empresa,0,13440,13440,8120,32800,22000,24500,22000,22000,24500,182800
2022,8,1,105,Empresa,0,26900,26900,13870,0,22000,24500,22000,22000,24500,182670
2022,13,1,78,AS,6300,26900,13440,13870,16340,9000,24500,9000,9000,10860,139210
2022,52,17,53,Empresa,0,0,0,0,80220,48450,3550,48450,0,0,180670
2020,9,1,110,Empresa,0,26900,13440,0,32800,22000,24500,9000,9000,10860,148500
2022,11,1,88,AS,18000,13440,13440,8120,32800,22000,24500,9000,9000,24500,174800
2022,18,5,56,Empresa,0,6130,0,0,131080,19260,0,5700,0,17750,179920
2022,9,1,142,AS,18000,13440,26900,0,0,22000,24500,22000,22000,24500,173340
2022,16,2,76,Empresa,0,26880,15800,16240,0,9040,49000,18000,9040,35360,179360
2022,17,5,73,Empresa,0,0,0,0,98160,45000,25060,4520,0,6450,179190
2022,13,6,69,Empresa,0,13440,7900,8120,81700,22000,7920,4520,9000,24500,179100
2022,9,1,74,Empresa,0,26900,7900,13870,32800,22000,24500,22000,4520,24500,178990
2022,16,3,83,Empresa,0,0,0,0,40700,13560,41810,22520,4520,23760,146870
2022,28,7,62,Empresa,0,7900,13440,6340,46840,23070,24500,9000,9000,32160,172250
2022,16,2,85,AS,18000,7900,7900,13870,32800,26520,17310,11850,9000,10860,156010
2022,8,1,75,Empresa,0,26900,13440,27750,32800,22000,0,9000,22000,24500,178390
2022,10,1,194,Empresa,0,13440,13440,8120,32800,22000,24500,22000,9000,24500,169800
2021,20,6,61,Empresa,0,7900,7900,8120,89600,27120,17310,4520,4520,10860,177850
2022,8,1,75,AS,9000,26900,26900,0,0,22000,24500,22000,22000,24500,177800
2022,10,1,104,AS,18000,26900,13440,8120,0,22000,24500,9000,22000,24500,168460
2022,9,1,77,Empresa,0,26900,13440,13870,0,22000,24500,22000,22000,24500,169210
2022,22,10,56,Empresa,0,0,0,0,126520,39660,6450,2850,0,0,175480
2022,11,2,105,Empresa,0,7900,13440,8120,32800,9000,24500,22000,9000,10860,137620
2020,10,1,177,AS,18000,13440,13440,8120,32800,22000,24500,9000,9000,24500,174800
2022,7,1,90,Empresa,0,26900,26900,27750,0,0,24500,22000,22000,24500,174550
2022,9,1,95,AS,18000,26900,13440,13870,0,22000,24500,22000,9000,24500,174210
2022,9,1,210,AS,18000,26900,26900,13870,0,22000,10860,9000,22000,24500,174030
2022,11,2,136,Empresa,0,13440,7900,8120,32800,22000,30950,22000,5970,24500,167680
2022,16,2,73,Empresa,0,26880,21340,13870,7900,13520,21720,9000,18000,35360,167590
2022,11,1,108,Empresa,0,13440,13440,13870,32800,22000,10860,9000,22000,24500,161910
2022,12,2,88,AS,18000,13440,7900,8120,32680,22000,24500,9000,4520,24500,164660
2022,9,1,70,Empresa,0,26900,13440,13870,16340,9000,24500,22000,22000,24500,172550
2022,8,1,70,Empresa,0,26900,26900,0,16340,22000,24500,9000,22000,24500,172140
2022,22,7,55,Empresa,0,0,0,0,108860,19950,10860,2850,0,29220,171740
2022,13,4,74,Empresa,0,7900,7900,0,29900,22000,24500,22000,22000,10860,147060
2022,9,2,100,Empresa,0,0,0,0,49140,31000,35360,22000,9000,24500,171000
2022,11,3,82,Empresa,0,0,0,0,81940,4520,59860,7370,0,17310,171000
2022,10,1,87,AS,6300,7900,13440,8120,32800,22000,24500,22000,9000,24500,170560
2022,8,1,85,Empresa,0,26900,26900,27750,0,9000,24500,9000,22000,24500,170550
2022,10,1,69,Empresa,0,26900,26900,13870,7900,22000,10860,9000,22000,24500,163930
2022,18,5,58,Empresa,0,0,7900,0,92520,22600,0,4520,5970,36660,170170
2022,14,2,102,AS,6300,9750,9750,6340,32800,24850,24500,5970,5970,24500,150730
2022,15,3,75,Empresa,0,26880,26880,27740,0,18000,10860,9000,18000,32580,169940
2022,16,2,61,AS,9000,21340,7900,8120,43500,26520,10860,9000,4520,6450,147210
2022,8,1,85,Empresa,0,26900,26900,13870,0,22000,24500,22000,9000,24500,169670
2022,18,2,66,Empresa,0,26880,21340,21990,24240,13520,17310,13520,13520,17310,169630
2021,46,23,46,Empresa,0,0,0,0,103960,65550,0,0,0,0,169510
2021,8,1,75,Empresa,0,26900,26900,27750,0,22000,10860,22000,22000,10860,169270
2022,8,1,80,Empresa,0,26900,13440,13870,0,22000,24500,22000,22000,24500,169210
2022,10,1,75,Empresa,0,13440,0,13870,32800,22000,24500,22000,4520,24500,157630
2022,11,3,72,Empresa,0,13440,13440,8120,76300,4520,24500,9000,9000,10860,169180
2021,9,1,82,Empresa,0,13440,13440,8120,32800,22000,24500,22000,22000,10860,169160
2022,7,1,85,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800
2022,7,1,70,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800
2022,7,1,100,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800
2022,16,5,74,Empresa,0,13440,13440,8120,64940,22520,0,9040,9000,28170,168670
2022,17,4,67,Empresa,0,7900,13440,8120,70000,18040,0,13520,13520,23760,168300
2022,31,11,53,Empresa,0,7900,7900,6340,68300,37500,6450,2850,4520,25270,167030
2022,21,3,62,Empresa,0,15800,15800,8120,16340,18040,41810,18040,13560,19350,166860
2022,26,3,53,Empresa,0,23780,23780,24510,18600,13340,17920,13340,13340,17920,166530
2022,18,5,214,Empresa,0,51420,33030,34090,4520,30550,3550,2850,2850,3550,166410
2022,14,5,69,Empresa,0,26900,26900,16240,0,18000,20860,13520,22000,21720,166140
2022,25,6,54,Empresa,0,0,0,8120,78320,23250,7100,5700,4520,28610,155620
2022,23,7,55,Empresa,0,53760,31600,24360,0,16410,0,0,16410,22900,165440
2022,18,4,60,Empresa,0,13440,13440,8120,53120,19220,6450,11890,22000,17310,164990
2022,16,3,71,Empresa,0,13440,7900,8120,49020,18040,37400,9000,4520,10860,158300
2022,8,1,125,Empresa,0,26900,13440,13870,32800,22000,0,22000,9000,24500,164510
2022,10,1,90,Empresa,0,13440,13440,13870,32800,22000,10860,22000,9000,10860,148270
2022,8,2,114,Empresa,0,26900,15800,27750,0,0,49000,44000,0,0,163450
2022,17,3,59,Empresa,0,7900,15800,0,65480,9040,21720,18040,9040,15840,162860
2022,9,1,82,Empresa,0,26900,13440,13870,0,22000,24500,9000,22000,24500,156210
2022,10,1,79,Empresa,0,26900,7900,13870,0,9000,24500,22000,9000,10860,124030
2022,8,1,87,Empresa,0,0,0,0,32800,22000,24500,9000,4520,24500,117320
2022,9,1,185,Empresa,0,26900,13440,13870,32800,22000,10860,22000,9000,10860,161730
2022,26,5,63,Empresa,0,0,0,0,36660,25410,20000,28220,25370,25800,161460
2022,13,2,75,Empresa,0,13440,0,8120,65600,26520,6450,13520,10490,17310,161450
2022,26,6,56,Empresa,0,7900,7900,0,50200,28570,27270,27120,4520,7920,161400
2022,16,2,56,Empresa,0,6130,7900,8120,49140,13520,24500,9040,9040,17310,144700
2022,21,6,52,Empresa,0,0,0,0,86220,25450,29350,2850,0,16450,160320
2022,26,5,55,Empresa,0,0,0,0,64400,22600,25060,22600,4520,20650,159830
2022,14,4,68,Empresa,0,7900,13440,8120,7900,13520,59860,18000,9000,21720,159460
2022,15,2,118,Empresa,0,13440,7900,8120,49140,26520,6450,13520,9040,17310,151440
2022,14,2,65,Empresa,0,13440,13440,8120,49140,11850,35360,11850,4520,11470,159190
2021,10,1,85,Empresa,0,13440,13440,13870,16340,9000,24500,22000,9000,24500,146090
2020,29,9,53,Empresa,0,0,0,0,79540,40680,0,27320,4520,6450,158510
2022,21,3,47,Empresa,0,21930,20160,22580,49020,10490,6450,13560,7370,6450,158010
2022,38,9,46,Empresa,0,6130,0,0,60960,27320,31950,27320,0,3550,157230
2022,9,1,81,AS,18000,7900,0,8120,7900,22000,24500,22000,22000,24500,156920
2022,9,1,97,Empresa,0,13440,13440,8120,32800,22000,24500,9000,9000,24500,156800
2020,16,4,52,Empresa,0,7900,7900,8120,81820,18080,6450,4520,4520,17310,156620
2021,9,1,122,Empresa,0,26900,13440,8120,32800,22000,10860,9000,9000,24500,156620
2022,9,1,82,Empresa,0,13440,7900,13870,32800,22000,24500,22000,9000,10860,156370
2022,21,4,57,Empresa,0,0,0,0,65360,18080,6450,22560,18080,25800,156330
2022,8,1,90,Empresa,0,26900,13440,13870,0,22000,24500,22000,9000,24500,156210
2021,8,1,70,Empresa,0,26900,13440,13870,0,22000,24500,9000,22000,24500,156210
2022,10,1,69,Empresa,0,13440,7900,8120,32800,22000,24500,22000,4520,7920,143200
2022,8,1,75,Empresa,0,0,9750,0,32800,22000,24500,22000,4520,24500,140070
2022,15,3,53,Empresa,0,7900,7900,8120,65480,13560,10860,4520,4520,10860,133720
2022,17,2,61,Empresa,0,21340,21340,13870,24240,13520,12900,13520,13520,21720,155970
2022,28,11,55,AS,18000,13440,13440,0,53100,31620,7920,5970,5970,6450,155910
2022,7,1,180,Empresa,0,26900,26900,0,0,9000,24500,22000,22000,24500,155800
2022,8,1,105,Empresa,0,13440,13440,13870,0,22000,24500,22000,22000,24500,155750
2022,23,3,54,Empresa,0,21930,21340,16240,7900,13560,23760,13560,13560,23760,155610
2022,11,1,68,Empresa,0,13440,13440,8120,32800,22000,24500,4520,9000,10860,138680
2022,10,1,75,AS,18000,7900,7900,8120,32800,22000,24500,22000,4520,6450,154190
2022,11,1,86,AS,18000,9750,7900,8120,32800,22000,24500,9000,5970,10860,148900
2022,21,8,51,Empresa,0,7900,7900,6340,78920,31110,3550,2850,4520,10860,153950
2022,10,1,70,AS,18000,6130,6130,6340,32800,22000,24500,9000,4520,24500,153920
2022,14,4,78,Empresa,0,19570,13440,14460,0,31000,35360,13520,9000,17310,153660
2022,9,1,142,Empresa,0,26900,13440,0,16340,22000,24500,22000,9000,10860,145040
2022,14,2,73,Empresa,0,7900,7900,0,49140,18000,21720,13520,13520,21720,153420
2022,11,2,78,AS,4500,0,7900,8120,49140,22000,24500,9000,9000,10860,145020
2022,16,2,64,Empresa,0,17650,7900,8120,15800,9040,49000,18000,10490,17310,153310
2021,9,1,59,Empresa,0,26900,13440,8120,32800,9000,24500,9000,4520,24500,152780
2022,17,5,62,AS,18000,0,0,0,68880,35070,6450,10220,2850,10860,152330
2022,8,1,73,Empresa,0,26900,26900,10050,0,22000,24500,22000,9000,10860,152210
2022,14,2,66,Empresa,0,15800,0,0,65600,18000,12900,13520,9040,17310,152170
2022,17,9,62,AS,18000,0,0,0,73900,22000,6450,4520,4520,6450,135840
2022,13,1,62,AS,4500,13440,13440,13870,16340,9000,10860,9000,9000,10860,110310
2022,10,1,61,Empresa,0,26900,13440,8120,7900,22000,24500,9000,9000,24500,145360
2022,13,1,65,AS,4500,13440,13440,13870,7900,9000,24500,9000,9000,24500,129150
2022,9,1,70,AS,9000,26900,13440,13870,0,22000,24500,22000,9000,10860,151570
2022,8,1,72,Empresa,0,26900,26900,13870,0,4520,24500,22000,22000,10860,151550
2022,27,8,49,AS,9000,6130,9750,10050,51920,19950,10860,9000,0,24850,151510
2022,12,3,47,AS,6300,7900,6130,8120,98400,5970,6450,2850,2850,6450,151420
2022,9,1,79,Empresa,0,7900,13440,8120,32800,22000,24500,9000,9000,24500,151260
